CODIGO_PARADA,X,Y,LINEAS,ADYACENTES
681,562072.72008,6143655.45886,135:782:69;L35:1577:21,682
682,561773.547446183,6143840.76076692,135:782:70;L35:1577:22,683
683,561287.393806843,6144147.21622206,135:782:71;L35:1577:23,684
684,560935.248271884,6144368.4767469,135:782:72;L35:1577:24,4185
685,560413.35966,6144699.80793,135:782:74;L35:1577:26,686
686,560163.228728,6144859.16262971,135:782:75;L35:1577:27,4698
687,559644.047977032,6145185.47139987,135:782:77;L35:1577:29,688
688,559466.25415,6145293.11882,135:782:78;L35:1577:30,689
689,558939.64654,6145627.28711,135:782:79;L35:1577:31,620
690,559449.83158,6145298.50628,135:784:20;L35:1575:20,691
691,559636.817935855,6145175.26428292,135:784:21;L35:1575:21,692
692,559928.31727,6144996.6211,135:784:22;L35:1575:22,693
693,560141.219632066,6144859.69425038,135:784:23;L35:1575:23,694
694,560393.84577671,6144700.9523169,135:784:24;L35:1575:24,4701
695,560911.219017385,6144374.53722259,135:784:26;L35:1575:26,696
696,561282.609220771,6144139.34823608,135:784:27;L35:1575:27,697
697,561773.815855555,6143831.36643891,135:784:28;L35:1575:28,698
698,562066.011215106,6143647.10852749,135:784:29;L35:1575:29,700
700,562364.679548938,6143459.92880683,135:784:30;L35:1575:30,701
701,562569.204621744,6143328.51819079,135:784:31;L35:1575:31,5668
702,562795.474807608,6143195.42801,135:782:66;L35:1577:18;L19:2079:31;L19:2941:13,679;703
703,563011.799484711,6143051.69285339,135:784:33;L35:1575:33;L19:2079:32;L19:2941:14,704
704,563343.827051153,6142841.14275853,135:784:34;L35:1575:34;L19:2079:33;L19:2941:15,705
705,563525.554743233,6142727.6443702,135:784:35;L35:1575:35;L19:2079:34;L19:2941:16,4697
706,564134.18583,6142639.46553,495:141:21;135:784:37;L35:1575:37;L16:2069:20;L19:2079:36;L19:2941:18,708
707,564124.291318823,6142643.56469072,495:137:79;135:782:60;L35:1577:12;L16:2070:12;L19:2080:12;L19:2942:12,675
708,564407.124090097,6142831.71783493,495:141:22;135:784:38;L35:1575:38;L16:2069:21;L19:2079:37;L19:2941:19,5039
709,564561.958448359,6142953.83646219,495:137:77;135:782:58;L35:1577:10;L16:2070:10;L19:2080:10;L19:2942:10,5038
710,564826.83711,6143130.21681,495:141:24;135:784:40;L35:1575:40;L16:2069:23;L19:2079:39;L19:2941:21,711
711,565023.90079,6143325.83422,495:141:25;135:784:41;L35:1575:41;L16:2069:24;L19:2079:40;L19:2941:22,4731
712,565030.4523,6143339.15455,495:137:76;135:782:57;L35:1577:9;L16:2070:9;L19:2080:9;L19:2942:9,709
713,568239.91168,6148276.70463,G11:3350:40,794
714,567979.23875,6148431.13916,G11:3349:21;G11:3387:21,716
715,567956.295725085,6148434.75749548,G11:3350:39,713
716,567642.330242044,6148621.97035007,G11:3349:22;G11:3387:22,4826
717,567633.970789554,6148615.74936217,G11:3350:38,715
718,567130.919135713,6148908.98464499,G11:3349:24;G11:3387:24,5424
719,566511.10399,6149252.6102,G11:3349:26;G11:3387:26,720
720,566063.4252,6149497.01819,G11:3349:27;G11:3387:27,5425
721,566032.597589662,6149500.80955055,G11:3350:33,5435
722,565152.04077,6150002.95155,G11:3349:29;G11:3387:29,724
723,565128.068225803,6150015.76438641,G11:3350:31,5434
724,564727.41175157,6150591.35313293,G11:3349:30;G11:3387:30,726
