individuo,prestadorIndividuo,centro,prestadorCentro,tipoTransporte,dia,hora,tiempoViaje,llegaGeografico,cantidadPediatras,llega
1,7,104,1,AUTO,Martes,800,7,Si,1,No
1,7,104,1,AUTO,Martes,900,7,Si,1,No
1,7,104,1,AUTO,Martes,1000,7,Si,1,No
1,7,104,1,AUTO,Martes,1100,7,Si,1,No
1,7,104,1,AUTO,Martes,1200,7,Si,0,No
1,7,104,1,AUTO,Martes,1300,7,Si,0,No
1,7,104,1,AUTO,Martes,1400,7,Si,0,No
1,7,104,1,AUTO,Martes,1500,7,Si,0,No
1,7,104,1,AUTO,Martes,1600,7,Si,0,No
1,7,104,1,AUTO,Martes,1700,-1,No,0,No
1,7,104,1,AUTO,Martes,1800,-1,No,0,No
1,7,104,1,AUTO,Martes,1900,-1,No,0,No
1,7,104,1,AUTO,Martes,2000,-1,No,0,No
1,7,104,1,AUTO,Martes,2100,11,Si,0,No
1,7,104,1,AUTO,Miercoles,600,7,Si,0,No
1,7,104,1,AUTO,Miercoles,700,7,Si,0,No
1,7,104,1,AUTO,Miercoles,800,7,Si,1,No
1,7,104,1,AUTO,Miercoles,900,7,Si,1,No
1,7,104,1,AUTO,Miercoles,1000,7,Si,1,No
1,7,104,1,AUTO,Miercoles,1100,7,Si,1,No
1,7,104,1,AUTO,Miercoles,1200,7,Si,0,No
1,7,104,1,AUTO,Miercoles,1300,7,Si,0,No
1,7,104,1,AUTO,Miercoles,1400,7,Si,0,No
1,7,104,1,AUTO,Miercoles,1500,7,Si,0,No
1,7,104,1,AUTO,Miercoles,1600,7,Si,0,No
1,7,104,1,AUTO,Miercoles,1700,-1,No,0,No
1,7,104,1,AUTO,Miercoles,1800,-1,No,0,No
1,7,104,1,AUTO,Miercoles,1900,-1,No,0,No
1,7,104,1,AUTO,Miercoles,2000,-1,No,0,No
1,7,104,1,AUTO,Miercoles,2100,11,Si,0,No
1,7,104,1,AUTO,Jueves,600,7,Si,0,No
1,7,104,1,AUTO,Jueves,700,7,Si,0,No
1,7,104,1,AUTO,Jueves,800,7,Si,2,No
1,7,104,1,AUTO,Jueves,900,7,Si,2,No
1,7,104,1,AUTO,Jueves,1000,7,Si,2,No
1,7,104,1,AUTO,Jueves,1100,7,Si,2,No
1,7,104,1,AUTO,Jueves,1200,7,Si,0,No
1,7,104,1,AUTO,Jueves,1300,7,Si,0,No
1,7,104,1,AUTO,Jueves,1400,7,Si,0,No
1,7,104,1,AUTO,Jueves,1500,7,Si,0,No
1,7,104,1,AUTO,Jueves,1600,7,Si,0,No
1,7,104,1,AUTO,Jueves,1700,-1,No,0,No
1,7,104,1,AUTO,Jueves,1800,-1,No,0,No
1,7,104,1,AUTO,Jueves,1900,-1,No,0,No
1,7,104,1,AUTO,Jueves,2000,-1,No,0,No
1,7,104,1,AUTO,Jueves,2100,11,Si,0,No
1,7,104,1,AUTO,Viernes,600,7,Si,0,No
1,7,104,1,AUTO,Viernes,700,7,Si,0,No
1,7,104,1,AUTO,Viernes,800,7,Si,1,No
1,7,104,1,AUTO,Viernes,900,7,Si,1,No
